,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,genre,duration
30,31,33.0,Attention (acoustic),Charlie Puth,22.0,4202212,6.9%,https://www.youtube.com/watch?v=nfs8NYg7yQM,[],Unknown
31,32,39.0,Felices Los 4,Maluma,21.0,4021787,10.7%,https://www.youtube.com/watch?v=t_jHrUE5IOk,[],284351
32,33,60.0,Dusk Till Dawn (feat. Sia),ZAYN,3.0,3981668,36%,https://www.youtube.com/watch?v=tt2k8PGm-TI,[],Unknown
33,34,35.0,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,29.0,3971002,5.1%,https://www.youtube.com/watch?v=fUtlqtdn1Xo,"['trap', 'southern hip hop', 'rap', 'miami hip hop', 'florida rap', 'hip hop', 'melodic rap', 'pop rap']",209269
34,35,43.0,Roll in Peace (feat. XXXTENTACION),Kodak Black,6.0,3968620,15.8%,https://www.youtube.com/watch?v=S0nbOenwCLw,"['southern hip hop', 'trap', 'emo rap', 'rap', 'miami hip hop', 'florida rap', 'hip hop', 'melodic rap']",213132
35,36,27.0,DNA,BTS,2.0,3927159,-7.7%,https://www.youtube.com/watch?v=MBdVXkSdhwU,"['talent show', 'pop', 'girl group', 'post-teen pop', 'uk pop', 'dance pop']",238733
36,37,29.0,New Rules,Dua Lipa,8.0,3913635,-5.9%,https://www.youtube.com/watch?v=k2qgadSvNyU,"['uk pop', 'pop', 'dance pop']",209320
37,38,36.0,Slippery (feat. Gucci Mane),Migos,19.0,3902529,4.5%,https://www.youtube.com/watch?v=Hm1YFszJWbQ,"['southern hip hop', 'trap', 'atl hip hop', 'rap', 'hip hop', 'gangster rap', 'dirty south rap', 'pop rap']",304041
38,39,54.0,Jocelyn Flores,XXXTENTACION,5.0,3855326,26.1%,https://www.youtube.com/watch?v=FAucVNRx_mU,"['emo rap', 'miami hip hop']",119133
39,40,37.0,Location,Khalid,32.0,3824156,4.5%,https://www.youtube.com/watch?v=by3yRdlQvzs,"['trap', 'plugg', 'atl hip hop', 'rap']",168783
40,41,44.0,Uptown Funk (feat. Bruno Mars),Mark Ronson,53.0,3710555,8.9%,https://www.youtube.com/watch?v=OPf0YbXqDm0,"['neo soul', 'pop', 'dance pop']",269666
41,42,38.0,When It Rains It Pours,Luke Combs,4.0,3641333,0.2%,https://www.youtube.com/watch?v=uXyxFMbqKYA,"['hard rock', 'death metal', 'metal', 'speed metal', 'thrash metal', 'old school thrash', 'crossover thrash', 'groove metal']",260333
42,43,40.0,Love Galore (feat. Travis Scott),SZA,11.0,3618213,-0.2%,https://www.youtube.com/watch?v=hHXfCOjb3fk,"['pop', 'rap', 'slap house', 'r&b', 'pop rap']",275080
43,44,17.0,Gucci Gang,Lil Pump,4.0,3535720,-40.1%,https://www.youtube.com/watch?v=9alXo1OXTec,"['trap', 'emo rap', 'rap', 'vapor trap', 'miami hip hop']",124055
44,45,51.0,Krippy Kush,Farruko,7.0,3485143,8%,https://www.youtube.com/watch?v=j1_JW7An2l0,[],232638
45,46,47.0,GANGNAM STYLE (강남스타일),PSY,53.0,3478596,4.6%,https://www.youtube.com/watch?v=9bZkp7q19f0,[],Unknown
46,47,32.0,"Pills & Automobiles (feat. A Boogie wit da Hoodie, Yo Gotti & Kodak Black)",Chris Brown,4.0,3454066,-12.3%,https://www.youtube.com/watch?v=GTexe8c0eqw,[],Unknown
47,48,58.0,Rockstar (feat. 21 Savage),Post Malone,2.0,3435883,14.9%,https://www.youtube.com/watch?v=UceaB4D0jpo,[],Unknown
48,49,41.0,Do Re Mi (feat. Gucci Mane),blackbear,7.0,3416630,-5.3%,https://www.youtube.com/watch?v=dfzlUHOFQ5k,[],Unknown
49,50,46.0,What Ifs (feat. Lauren Alaina),Kane Brown,7.0,3392890,0.9%,https://www.youtube.com/watch?v=fM8V1XOI-14,"['country', 'country road', 'country dawn', 'modern country rock', 'country pop', 'contemporary country']",188253
50,51,57.0,Strip That Down (feat. Quavo),Liam Payne,14.0,3387677,13.2%,https://www.youtube.com/watch?v=vSW2M-BB1NE,"['southern hip hop', 'trap', 'social media pop', 'pop', 'atl hip hop', 'rap', 'post-teen pop', 'hip hop', 'dance pop', 'melodic rap', 'pop rap']",202061
51,52,55.0,In Case You Didn't Know,Brett Young,28.0,3374396,10.8%,https://www.youtube.com/watch?v=7qaHdHpSjX8,['contemporary country'],224853
52,54,48.0,No Smoke,YoungBoy Never Broke Again,7.0,3285774,-1%,https://www.youtube.com/watch?v=K3uMMjZGhnI,['detroit trap'],112744
53,56,42.0,Magnolia,Playboi Carti,21.0,3181942,-10%,https://www.youtube.com/watch?v=oCveByMXd_0,[],337000
54,57,59.0,First Day Out,Tee Grizzley,28.0,3125696,6.2%,https://www.youtube.com/watch?v=pWh4O6ujK4o,"['southern hip hop', 'trap', 'rap', 'detroit hip hop', 'detroit trap', 'hip hop', 'pop rap']",254693
55,58,62.0,Redbone,Childish Gambino,29.0,3104002,6.8%,https://www.youtube.com/watch?v=Kp7eSUU9oy8,"['hip hop', 'atl hip hop', 'rap', 'pop rap']",326933
56,60,53.0,How Far I'll Go,Auliʻi Cravalho,42.0,2995517,-2.4%,https://www.youtube.com/watch?v=cPAbx5kgCJo,"['hollywood', 'show tunes', 'movie tunes', 'disney']",163386
57,61,49.0,No Flockin,Kodak Black,7.0,2962281,-10.4%,https://www.youtube.com/watch?v=UE_-obgiWm0,[],Unknown
58,62,66.0,Body Like a Back Road,Sam Hunt,32.0,2955213,11.7%,https://www.youtube.com/watch?v=Mdh2p03cRfw,['sleep'],156213
59,63,56.0,Can't Stop the Feeling!,Justin Timberlake,53.0,2884332,-5.2%,https://www.youtube.com/watch?v=ru0K8uYEZWw,"['post-teen pop', 'social media pop', 'pop', 'viral pop']",237557
60,64,79.0,Untouchable,YoungBoy Never Broke Again,17.0,2864822,12.9%,https://www.youtube.com/watch?v=ipM9SkIkwCY,"['post-teen pop', 'pop']",311040
61,65,64.0,B.E.D.,Jacquees,5.0,2862485,5.8%,https://www.youtube.com/watch?v=ul1H_p_FeaA,"['tagalog rap', 'pinoy hip hop']",297857
62,67,89.0,"What's My Name (Thomas Doherty, Dylan Playfair & China Anne McClain)","Thomas Doherty, Dylan Playfair & China Anne McClain",14.0,2846314,18.4%,https://www.youtube.com/watch?v=_dyvXcv3ej0,[],Unknown
63,69,52.0,Praying,Kesha,9.0,2844319,-9.4%,https://www.youtube.com/watch?v=v-Dur3uXXCQ,['canadian ccm'],233960
64,70,99.0,Tunnel Vision,Kodak Black,32.0,2836459,23.8%,https://www.youtube.com/watch?v=JzSUgOmP66Q,"['southern hip hop', 'hardcore hip hop', 'political hip hop', 'hip hop', 'alternative hip hop', 'philly rap', 'neo soul', 'indie r&b', 'conscious hip hop', 'east coast hip hop']",40906
65,71,61.0,Mayores (feat. Bad Bunny),Becky G,4.0,2773075,-4.8%,https://www.youtube.com/watch?v=GMFewiplIbw,[],Unknown
66,72,63.0,Happy,Pharrell Williams,32.0,2771858,-2.5%,https://www.youtube.com/watch?v=ZbZSe6N_BXs,"['pop', 'urban contemporary', 'hip pop', 'hip hop', 'r&b', 'dance pop']",262226
67,73,97.0,Privacy,Chris Brown,19.0,2721963,18.3%,https://www.youtube.com/watch?v=Fq0xEpRDL9Q,"['r&b', 'pop', 'soul']",304160
68,74,72.0,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,38.0,2703664,4.9%,https://www.youtube.com/watch?v=papuvlVeZg8,"['uk funky', 'pop', 'edm', 'pop dance', 'post-teen pop', 'dancehall', 'uk dance', 'uk pop', 'dance pop', 'tropical house', 'pop rap']",250456
69,75,85.0,LOYALTY. (feat. Rihanna),Kendrick Lamar,9.0,2696500,10.9%,https://www.youtube.com/watch?v=Dlh-dzB2U4Y,[],Unknown
70,76,98.0,Its Every Night Sis,RiceGum,8.0,2690203,17.2%,https://www.youtube.com/watch?v=-Zy28mVeVZw,['social media pop'],155193
71,77,78.0,"It's A Vibe (feat. Ty Dolla $ign, Trey Songz & Jhené Aiko)",2 Chainz,4.0,2684710,5.7%,https://www.youtube.com/watch?v=tU3p6mz-uxU,[],Unknown
72,78,69.0,JuJu On that Beat,Zayion McCall,53.0,2640380,1.7%,https://www.youtube.com/watch?v=a2v_zGWawP0,[],Unknown
73,79,68.0,Heathens,Twenty One Pilots,53.0,2636129,1.3%,https://www.youtube.com/watch?v=UprcpdwuwCg,"['rock', 'modern rock']",195920
74,80,81.0,Watch Me,Silentó,51.0,2610264,3.6%,https://www.youtube.com/watch?v=vjW8wmF5VWc,"['post-teen pop', 'viral pop', 'pop', 'dance pop']",146026
75,81,70.0,Monster,Skillet,50.0,2599922,0.2%,https://www.youtube.com/watch?v=1mjlM_RnsVE,"['riot grrrl', 'grunge', 'rock', 'punk', 'alternative rock', 'alternative pop']",176573
76,82,86.0,Something Just Like This (The Chainsmokers & Coldplay),The Chainsmokers & Coldplay,30.0,2581120,6.3%,https://www.youtube.com/watch?v=FM7MFYoylVs,[],Unknown
77,83,77.0,Say You Won't Let Go,James Arthur,39.0,2548323,-0.1%,https://www.youtube.com/watch?v=0yW7w8F2TVA,"['post-teen pop', 'talent show', 'pop', 'uk pop']",211466
78,84,83.0,There's Nothing Holdin' Me Back,Shawn Mendes,9.0,2535602,1.8%,https://www.youtube.com/watch?v=dT2owtxkU8k,"['pop', 'post-teen pop', 'viral pop', 'canadian pop', 'dance pop']",199440
79,85,87.0,Tennessee Whiskey,Chris Stapleton,4.0,2517411,3.8%,https://www.youtube.com/watch?v=4zAThXFOy2c,"['country rock', 'country', 'outlaw country']",179506
80,87,76.0,Closer (feat. Halsey),The Chainsmokers,53.0,2480357,-2.8%,https://www.youtube.com/watch?v=0zGcUoRlhmw,[],Unknown
81,88,95.0,Una Lady Como Tu,Manuel Turizo,3.0,2474981,6.4%,https://www.youtube.com/watch?v=VYtJAuoZxcc,['cumbia sonidera'],268800
82,90,75.0,Corrido De Juanito,Calibre 50,3.0,2456833,-4.3%,https://www.youtube.com/watch?v=pC7a27zE2fs,"['regional mexican', 'corrido', 'nuevo regional mexicano']",261973
83,91,90.0,Báilame,Nacho,3.0,2430096,2.5%,https://www.youtube.com/watch?v=a1J44C-PZ3E,"['latin hip hop', 'regional mexican', 'deep regional mexican', 'nuevo regional mexicano', 'sierreno', 'norteno', 'corrido']",167720
84,92,88.0,A Thousand Years,Christina Perri,38.0,2415277,-0.1%,https://www.youtube.com/watch?v=rtOvBOTyX00,[],295000
85,93,91.0,Hurricane,Luke Combs,25.0,2415094,2.1%,https://www.youtube.com/watch?v=BixwVsiDdZM,"['tekk', 'rawstyle', 'classic hardstyle']",295646
86,94,100.0,You're Welcome,Alfred Gagnon,44.0,2414907,6.5%,https://www.youtube.com/watch?v=XOnvlWdvHzw,[],163893
87,95,92.0,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,2.0,2411223,2.2%,https://www.youtube.com/watch?v=nhNqbe6QENY,"['southern hip hop', 'trap', 'pop', 'rap', 'drill', 'vapor trap', 'indie soul', 'dmv rap', 'alternative r&b', 'underground hip hop', 'hip hop', 'r&b']",176702
88,97,74.0,When We,Tank,2.0,2399558,-6.6%,https://www.youtube.com/watch?v=QRF9TgkBCjc,"['r&b', 'urban contemporary', 'pop r&b']",309120
89,99,71.0,Idfc (Tarro Remix),blackbear,16.0,2363764,-8.8%,https://www.youtube.com/watch?v=gxE4ngu78Ro,[],Unknown
90,100,93.0,Reggaetón Lento (Bailemos),CNCO,11.0,2333005,-0.4%,https://www.youtube.com/watch?v=7jpqqBX-Myw,"['boy band', 'latin', 'latin pop', 'reggaeton']",222560
91,1,1.0,Bodak Yellow,Cardi B,15.0,21945701,0.8%,https://www.youtube.com/watch?v=PEGccV-NOm8,"['pop', 'rap', 'post-teen pop', 'dance pop', 'pop rap']",223712
92,2,2.0,Despacito (feat. Daddy Yankee),Luis Fonsi,39.0,14734864,20%,https://www.youtube.com/watch?v=kJQP7kiw5Fk,[],Unknown
93,3,4.0,Look What You Made Me Do,Taylor Swift,7.0,13923836,20.7%,https://www.youtube.com/watch?v=3tmd-ClpJxA,"['post-teen pop', 'pop']",211853
94,4,5.0,1-800-273-8255 (feat. Alessia Cara & Khalid),Logic,8.0,13072974,13.9%,https://www.youtube.com/watch?v=Kb24RrHIbFk,[],Unknown
95,5,6.0,Rake It Up (feat. Nicki Minaj),Yo Gotti,15.0,11470131,11.7%,https://www.youtube.com/watch?v=OrSadmwmmAs,"['southern hip hop', 'trap', 'pop', 'rap', 'hip pop', 'queens hip hop', 'post-teen pop', 'tennessee hip hop', 'hip hop', 'memphis hip hop', 'gangster rap', 'dance pop', 'dirty south rap', 'pop rap']",276333
96,6,3.0,Bank Account,21 Savage,14.0,11356588,-3.2%,https://www.youtube.com/watch?v=sV2t3tW_JTQ,"['trap', 'atl hip hop', 'rap']",220306
97,7,7.0,The Race,Tay-K,12.0,10077209,16.4%,https://www.youtube.com/watch?v=OYhXJaEbw7c,"['southern hip hop', 'trap', 'rap', 'pittsburgh rap', 'hip hop', 'pop rap']",335613
98,8,8.0,I Get the Bag (feat. Migos),Gucci Mane,8.0,8845456,4.1%,https://www.youtube.com/watch?v=uo14xGYwWd4,"['southern hip hop', 'trap', 'atl hip hop', 'rap', 'hip hop', 'gangster rap', 'dirty south rap', 'pop rap']",233087
99,9,12.0,The Weekend,SZA,11.0,7540068,3%,https://www.youtube.com/watch?v=cMD63TwzB1o,"['gangster rap', 'chicano rap', 'west coast rap']",245786
100,10,15.0,XO TOUR Llif3,Lil Uzi Vert,30.0,7535450,20.1%,https://www.youtube.com/watch?v=WrsFXgQk5UI,[],171473
101,11,9.0,Mi Gente (J Balvin & Willy William),J Balvin & Willy William,15.0,6832741,-18.4%,https://www.youtube.com/watch?v=wnJ6LuUFpMo,[],Unknown
102,12,16.0,Unforgettable (feat. Swae Lee),French Montana,26.0,6705887,8.6%,https://www.youtube.com/watch?v=CTFtOOh47oo,[],Unknown
103,13,17.0,Young Dumb & Broke,Khalid,11.0,6697690,8.8%,https://www.youtube.com/watch?v=IPfJnp1guPc,"['post-teen pop', 'pop', 'alternative r&b']",202546
104,14,14.0,Believer,Imagine Dragons,31.0,6418688,-1.2%,https://www.youtube.com/watch?v=7wtfhZwyrcc,"['album rock', 'hard rock', 'metal', 'rock', 'birmingham metal']",316613
105,16,13.0,Rolex,Ayo & Teo,38.0,6025387,-9.5%,https://www.youtube.com/watch?v=lwk5OUII9Vc,"['pop', 'hip pop', 'australian hip hop', 'post-teen pop', 'dance pop', 'pop rap']",203898
106,17,11.0,Gucci Gang,Lil Pump,6.0,5907155,-19.8%,https://www.youtube.com/watch?v=9alXo1OXTec,"['trap', 'emo rap', 'rap', 'vapor trap', 'miami hip hop']",124055
107,18,18.0,Shape of You,Ed Sheeran,40.0,5670829,0.8%,https://www.youtube.com/watch?v=JGwWNGJdvx8,"['pop', 'uk pop']",233712
108,19,10.0,Too Good At Goodbyes,Sam Smith,5.0,5656500,-24.3%,https://www.youtube.com/watch?v=J_ub7Etch2U,"['post-teen pop', 'uk pop', 'pop', 'dance pop']",201000
109,20,22.0,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,17.0,5611451,19%,https://www.youtube.com/watch?v=fyaI4-5849w,"['southern hip hop', 'trap', 'pop', 'urban contemporary', 'rap', 'r&b', 'barbadian pop', 'miami hip hop', 'post-teen pop', 'hip hop', 'kentucky hip hop', 'dance pop', 'pop rap']",204664
110,21,20.0,That's What I Like,Bruno Mars,33.0,5335779,6.6%,https://www.youtube.com/watch?v=PMivT7MJ41M,"['vocal jazz', 'easy listening', 'lounge', 'adult standards']",160333
111,22,19.0,Congratulations (feat. Quavo),Post Malone,38.0,5274479,-3.4%,https://www.youtube.com/watch?v=SC4xMk98Pdc,"['southern hip hop', 'trap', 'atl hip hop', 'rap', 'hip hop', 'dfw rap', 'melodic rap', 'pop rap']",218546
112,23,30.0,Transportin',Kodak Black,8.0,5149721,23.7%,https://www.youtube.com/watch?v=Ns167_llTiA,"['southern hip hop', 'trap', 'rap', 'miami hip hop', 'florida rap', 'hip hop', 'melodic rap']",169344
113,24,23.0,"I'm The One (feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)",DJ Khaled,24.0,4967109,6.6%,https://www.youtube.com/watch?v=weeI1G46q0o,[],Unknown
114,25,27.0,HUMBLE.,Kendrick Lamar,29.0,4827391,8.4%,https://www.youtube.com/watch?v=tvTRZJ-4EyI,"['hip hop', 'west coast rap', 'conscious hip hop', 'rap']",177000
115,26,24.0,Bad and Boujee (feat. Lil Uzi Vert),Migos,50.0,4269027,-7.7%,https://www.youtube.com/watch?v=S-sJp1FfG7Q,"['southern hip hop', 'trap', 'atl hip hop', 'rap', 'hip hop', 'philly rap', 'melodic rap', 'pop rap']",343150
116,27,59.0,DNA,BTS,4.0,4254902,59.1%,https://www.youtube.com/watch?v=MBdVXkSdhwU,"['talent show', 'pop', 'girl group', 'post-teen pop', 'uk pop', 'dance pop']",238733
117,28,35.0,Escápate Conmigo (feat. Ozuna),Wisin,19.0,4229746,11.7%,https://www.youtube.com/watch?v=3X9wEwulYhk,"['latin hip hop', 'latin', 'puerto rican pop', 'tropical', 'reggaeton', 'trap latino']",232786
118,29,21.0,New Rules,Dua Lipa,10.0,4158121,-15.8%,https://www.youtube.com/watch?v=k2qgadSvNyU,"['uk pop', 'pop', 'dance pop']",209320
119,31,32.0,Mask Off,Future,27.0,4106311,1%,https://www.youtube.com/watch?v=xvZqHgFz51I,"['trap', 'southern hip hop', 'atl hip hop', 'rap', 'pop rap']",204600
120,32,25.0,"Pills & Automobiles (feat. Yo Gotti, Kodak Black & A Boogie wit da Hoodie)",Chris Brown,6.0,3939307,-14.6%,https://www.youtube.com/watch?v=GTexe8c0eqw,[],Unknown
121,33,37.0,Attention (acoustic),Charlie Puth,24.0,3930248,5.6%,https://www.youtube.com/watch?v=nfs8NYg7yQM,[],Unknown
122,34,44.0,Look at Me!,XXXTENTACION,36.0,3880076,11.3%,https://www.youtube.com/watch?v=qku2WZ7aRYw,['pony'],226951
123,36,33.0,Slippery (feat. Gucci Mane),Migos,21.0,3734383,-2.8%,https://www.youtube.com/watch?v=Hm1YFszJWbQ,"['southern hip hop', 'trap', 'atl hip hop', 'rap', 'hip hop', 'gangster rap', 'dirty south rap', 'pop rap']",304041
124,37,47.0,Location,Khalid,34.0,3659381,13.1%,https://www.youtube.com/watch?v=by3yRdlQvzs,"['trap', 'plugg', 'atl hip hop', 'rap']",168783
125,38,41.0,When It Rains It Pours,Luke Combs,6.0,3634484,2%,https://www.youtube.com/watch?v=uXyxFMbqKYA,"['hard rock', 'death metal', 'metal', 'speed metal', 'thrash metal', 'old school thrash', 'crossover thrash', 'groove metal']",260333
126,39,46.0,Felices Los 4,Maluma,23.0,3631620,9%,https://www.youtube.com/watch?v=t_jHrUE5IOk,[],284351
127,40,34.0,Love Galore (feat. Travis Scott),SZA,13.0,3624129,-5.1%,https://www.youtube.com/watch?v=hHXfCOjb3fk,"['pop', 'rap', 'slap house', 'r&b', 'pop rap']",275080
128,41,29.0,do re mi (feat. Gucci Mane),blackbear,9.0,3606354,-13.4%,https://www.youtube.com/watch?v=dfzlUHOFQ5k,"['southern hip hop', 'trap', 'pop', 'atl hip hop', 'rap', 'electropop', 'hip hop', 'modern rock', 'gangster rap', 'dirty south rap', 'pop rap']",233705
129,43,49.0,Roll in Peace (feat. XXXTENTACION),Kodak Black,8.0,3426882,10.3%,https://www.youtube.com/watch?v=S0nbOenwCLw,"['southern hip hop', 'trap', 'emo rap', 'rap', 'miami hip hop', 'florida rap', 'hip hop', 'melodic rap']",213132
130,45,54.0,Swish Swish (feat. Nicki Minaj),Katy Perry,11.0,3402483,20.2%,https://www.youtube.com/watch?v=iGk5fR-t5AU,"['pop', 'hip pop', 'queens hip hop', 'post-teen pop', 'dance pop', 'pop rap']",239986
131,46,39.0,What Ifs (feat. Lauren Alaina),Kane Brown,9.0,3361197,-6%,https://www.youtube.com/watch?v=fM8V1XOI-14,"['country', 'country road', 'country dawn', 'modern country rock', 'country pop', 'contemporary country']",188253
132,48,45.0,No Smoke,YoungBoy Never Broke Again,9.0,3319320,-2.6%,https://www.youtube.com/watch?v=K3uMMjZGhnI,['detroit trap'],112744
133,50,28.0,Thunder,Imagine Dragons,3.0,3300159,-23%,https://www.youtube.com/watch?v=fKopy74weus,['g-house'],160005
134,51,60.0,Krippy Kush,Farruko,9.0,3225508,21%,https://www.youtube.com/watch?v=j1_JW7An2l0,[],232638
135,52,62.0,Praying,Kesha,11.0,3139854,18.3%,https://www.youtube.com/watch?v=v-Dur3uXXCQ,['canadian ccm'],233960
136,54,51.0,Jocelyn Flores,XXXTENTACION,7.0,3057389,4.9%,https://www.youtube.com/watch?v=FAucVNRx_mU,"['emo rap', 'miami hip hop']",119133
137,57,57.0,Strip That Down (feat. Quavo),Liam Payne,16.0,2991953,7.5%,https://www.youtube.com/watch?v=vSW2M-BB1NE,"['southern hip hop', 'trap', 'social media pop', 'pop', 'atl hip hop', 'rap', 'post-teen pop', 'hip hop', 'dance pop', 'melodic rap', 'pop rap']",202061
138,59,56.0,Dusk Till Dawn (feat. Sia),ZAYN,5.0,2928441,5.1%,https://www.youtube.com/watch?v=tt2k8PGm-TI,[],Unknown
