,artist,song
90,Lil Uzi Vert,Dark Queen
91,Maren Morris,I Could Use A Love Song
92,Lil Uzi Vert,X
93,Lil Uzi Vert Featuring Pharrell Williams,Neon Guts
94,Chris Janson,Fix A Drink
95,XXXTENTACION,Revenge
96,Miguel Featuring Travis Scott,Sky Walker
97,Justin Moore,Somebody Else Will
98,The Weeknd,Reminder
99,DeJ Loaf,No Fear
104,Sam Smith,Too Good At Goodbyes
143,Zayn Featuring Sia,Dusk Till Dawn
161,Kelly Clarkson,Love So Soft
172,Blake Shelton,I'll Name The Dogs
179,Kane Brown,Found You
180,Lil Pump,Gucci Gang
184,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit
196,Metro Boomin Featuring Offset & Drake,No Complaints
197,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles
198,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go
201,Post Malone Featuring 21 Savage,Rockstar
265,Niall Horan,Too Much To Ask
266,Gucci Mane Featuring The Weeknd,Curve
284,BTS,DNA
288,Ed Sheeran,Perfect
291,"Lorde Featuring Khalid, Post Malone & SZA",Homemade Dynamite
364,Post Malone,I Fall Apart
369,Macklemore Featuring Kesha,Good Old Days
393,Chris Young,Losing Sleep
394,Brett Young,Like I Loved You
396,Eric Church,Round Here Buzz
397,A$AP Ferg Featuring Nicki Minaj,Plain Jane
399,Post Malone,Go Flex
467,Bhad Bhabie,Hi Bich
473,A Boogie Wit da Hoodie,No Promises
474,A Boogie Wit da Hoodie,Say A'
483,A Boogie Wit da Hoodie Featuring 21 Savage,Undefeated
485,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,Beast Mode
497,Florida Georgia Line,Smooth
519,Lin-Manuel Miranda Featuring Artists For Puerto Rico,Almost Like Praying
554,Sam Smith Featuring Logic,Pray
559,Charlie Puth,How Long
571,Kane Brown,Heaven
590,Maren Morris Featuring Vince Gill,Dear Hate
594,MAX Featuring gnash,Lights Down Low
596,"Quavo, Takeoff & Offset",Too Hotty
681,Chris Brown Featuring Future & Young Thug,High End
683,Russell Dickerson,Yours
686,NF,Let You Down
694,Gucci Mane Featuring Slim Jxmmi & Young Dolph,Stunting Ain't Nuthin
695,Walker Hayes,You Broke Up With Me
696,Becky G Featuring Bad Bunny,Mayores
697,Garth Brooks,Ask Me How I Know
712,Taylor Swift,Gorgeous
749,Future & Young Thug Featuring Offset,Patek Water
760,Bebe Rexha & Florida Georgia Line,Meant To Be
761,Future & Young Thug,No Cap
767,Future,Feed Me Dope
776,Future & Young Thug,All Da Smoke
783,Post Malone,Candy Paint
787,Selena Gomez X Marshmello,Wolves
791,Future,4 Da Gang
797,Liam Payne,Bedroom Floor
799,Future & Young Thug,Three
813,"Migos, Nicki Minaj & Cardi B",MotorSport
856,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers
870,Offset & Metro Boomin,Ric Flair Drip
873,"21 Savage, Offset & Metro Boomin Featuring Quavo",Rap Saved Me
893,21 Savage & Metro Boomin,My Choppa Hate N****s
897,Devin Dawson,All On Me
926,Taylor Swift,Call It What You Want
964,N*E*R*D & Rihanna,Lemon
978,YBN Nahmir,Rubbin Off The Paint
991,Chris Stapleton,Broken Halos
992,Maroon 5,Wait
993,Big Sean & Metro Boomin Featuring 21 Savage,Pull Up N Wreck
998,"21 Savage, Offset & Metro Boomin",Mad Stalkers
999,Offset & Metro Boomin,Nightmare
1013,Eminem Featuring Beyonce,Walk On Water
1040,Kendrick Lamar Featuring Zacari,Love.
1057,6ix9ine,Gummo
1064,NAV Featuring Lil Uzi Vert,Wanted You
1068,Keith Urban,Female
1092,Lil Xan,Betrayed
1095,G-Eazy,The Plan
1096,Famous Dex Featuring A$AP Rocky,Pick It Up
1146,Luis Fonsi & Demi Lovato,Echame La Culpa
1178,Lil Peep,Awful Things
1185,Taylor Swift Featuring Ed Sheeran & Future,End Game
1189,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home
1191,Tank,When We
1194,P!nk,Beautiful Trauma
1195,YoungBoy Never Broke Again,No Smoke
1197,Tim McGraw & Faith Hill,The Rest Of Our Life
1198,Old Dominion,Written In The Sand
1199,Calvin Harris Featuring Kehlani & Lil Yachty,Faking It
1220,Mariah Carey,All I Want For Christmas Is You
1227,BTS Featuring Desiigner,MIC Drop
1251,Kodak Black Featuring Lil Wayne,Codeine Dreaming
1285,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush
1290,Jake Paul Featuring Team 10,It's Everyday Bro
1297,Kelsea Ballerini,Legends
1298,Chloe Kohanski,Total Eclipse Of The Heart
1299,Shakira Featuring Nicky Jam,Perro Fiel
1320,G-Eazy & Halsey,Him & I
1336,Brenda Lee,Rockin' Around The Christmas Tree
1341,Nat King Cole,The Christmas Song (Merry Christmas To You)
1344,Andy Williams,It's The Most Wonderful Time Of The Year
1346,Burl Ives,A Holly Jolly Christmas
1352,Demi Lovato,Tell Me You Love Me
1360,6ix9ine,Kooda
1392,Yo Gotti,Juice
1394,Romeo Santos Featuring Nicky Jam & Daddy Yankee,Bella y Sensual
1396,Thomas Rhett,Marry Me
1397,Scotty McCreery,Five More Minutes
1398,Natti Natasha x Ozuna,Criminal
1443,Wham!,Last Christmas
1460,Camila Cabello,Never Be The Same
1466,Big Sean & Metro Boomin Featuring Travis Scott,Go Legend
1471,Trippie Redd Featuring Travis Scott,Dark Knight Dummo
1476,Lil Baby,My Dawg
1481,Migos & Marshmello,Danger
1485,Eminem,Untouchable
1513,Cardi B Featuring 21 Savage,Bartier Cardi
1542,Eminem Featuring Ed Sheeran,River
1551,Ozuna x Cardi B,La Modelo
1564,Huncho Jack Featuring Takeoff,Eye 2 Eye
1567,Huncho Jack,Modern Slavery
1568,Imagine Dragons + Khalid,Thunder/Young Dumb & Broke (Medley)
1570,Huncho Jack,Black & Chinese
1579,Quavo & Lil Yachty,Ice Tray
1582,Huncho Jack Featuring Offset,Dubai Shit
1586,Huncho Jack,Huncho Jack
1589,Huncho Jack,Motorcycle Patches
1591,Huncho Jack,Saint
1593,Migos,Stir Fry
1634,Bruno Mars & Cardi B,Finesse
1679,WALK THE MOON,One Foot
1682,Keala Settle & The Greatest Showman Ensemble,This Is Me
1684,Zac Efron & Zendaya,Rewrite The Stars
